day,time,place1,place2,place3,sun_intensity,sun_time,elec_intensity
1,0,0,1,0,0.045,0.0,0.0
1,1,0,1,0,0.0465,0.0,0.0
1,2,0,1,0,0.048,0.0,0.0
1,3,0,1,0,0.0494999999999999,0.0,0.0
1,4,0,1,0,0.051,0.0,0.0
1,5,0,1,0,0.0525,0.0,0.0
1,6,0,1,0,0.054,0.0,0.0
1,7,0,1,0,0.0555,0.0,0.0
1,8,0,1,0,0.057,0.0,0.0
1,9,0,1,0,0.0584999999999999,0.0,0.0
1,10,0,1,0,0.0599999999999999,0.0,0.0
1,11,0,1,0,0.0615,0.0,0.0
1,12,0,1,0,0.063,0.0,0.0
1,13,0,1,0,0.0644999999999999,0.0,0.0
1,14,0,1,0,0.066,0.0,0.0
1,15,0,1,0,0.0674999999999999,0.0,0.0
1,16,0,1,0,0.0689999999999999,0.0,0.0
1,17,0,1,0,0.0705,0.0,0.0
1,18,0,1,0,0.072,0.0,0.0
1,19,0,1,0,0.0735,0.0,0.0
1,20,0,1,0,0.075,0.0,0.0
1,21,0,1,0,0.0765,0.0,0.0
1,22,0,1,0,0.078,0.0,0.0
1,23,0,1,0,0.0794999999999999,0.0,0.0
1,24,0,1,0,0.0809999999999999,0.0,0.0
1,25,0,1,0,0.0825,0.0,0.0
1,26,0,1,0,0.084,0.0,0.0
1,27,0,1,0,0.0854999999999999,0.0,0.0
1,28,0,1,0,0.087,0.0,0.0
1,29,0,1,0,0.0885,0.0,0.0
1,30,0,1,0,0.09,0.0,0.010945454545454546
1,31,0,1,0,0.0973333333333333,0.0116666666666666,0.012509090909090909
1,32,0,1,0,0.1046666666666666,0.0233333333333333,0.0
1,33,0,1,0,0.112,0.0349999999999999,0.0
1,34,0,1,0,0.1193333333333333,0.0466666666666666,0.0
1,35,0,1,0,0.1266666666666666,0.0583333333333333,0.0
1,36,0,1,0,0.1339999999999999,0.0699999999999999,0.015527272727272728
1,37,0,1,0,0.1413333333333333,0.0816666666666666,0.034545454545454546
1,38,0,1,0,0.1486666666666666,0.0933333333333333,0.037357575757575756
1,39,0,1,0,0.156,0.105,0.040351515151515145
1,40,0,1,0,0.1633333333333333,0.1166666666666666,0.043502235469448584
1,41,0,1,0,0.1706666666666666,0.1283333333333333,0.046418181818181824
1,42,0,1,0,0.178,0.1399999999999999,0.048554545454545454
1,43,0,1,0,0.1853333333333333,0.1516666666666666,0.048309090909090906
1,44,0,1,0,0.1926666666666666,0.1633333333333333,0.04821818181818181
1,45,0,1,0,0.2,0.175,0.050063636363636366
1,46,0,1,0,0.2073333333333333,0.1866666666666666,0.050527272727272726
1,47,0,1,0,0.2146666666666666,0.1983333333333333,0.05162727272727272
1,48,0,1,0,0.222,0.21,0.05354545454545455
